"\   upper
lower \",DoD IP,PUP,NS IP
3Mb Ethernet,Type 1001 octal,Type 1000 octal,Type 3000 octal
10 Mb Ethernet,Type 0800 hex,Type 0200 hex,Type 0600 hex
MILNET,Link 155 decimal,Link 152 decimal,Link 150 decimal
