Value,Name,Reference
0x00,None,[RFC5931]
0x01,RFC2759,[RFC5931][RFC2759]
0x02,SASLprep,[RFC5931]
0x03,a random salt with SHA-1,[RFC-harkins-salted-eap-pwd-08]
0x04,a random salt with SHA-256,[RFC-harkins-salted-eap-pwd-08]
0x05,a random salt with SHA-512,[RFC-harkins-salted-eap-pwd-08]
0x06,UNIX crypt(),[RFC-harkins-salted-eap-pwd-08]
0x07,scrypt,[RFC-harkins-salted-eap-pwd-08]
0x08,PBKDF2 with SHA-256,[RFC-harkins-salted-eap-pwd-08]
0x09,PBKDF2 with SHA-512,[RFC-harkins-salted-eap-pwd-08]
0x0A,SASLprep then a random salt with SHA-1,[RFC-harkins-salted-eap-pwd-08]
0x0B,SASLprep then a random salt with SHA-256,[RFC-harkins-salted-eap-pwd-08]
0x0C,SASLprep then a random salt with SHA-512,[RFC-harkins-salted-eap-pwd-08]
0x0D,SASLprep then UNIX crypt(),[RFC-harkins-salted-eap-pwd-08]
0x0E,OpaqueString then scrypt,[RFC-harkins-salted-eap-pwd-08]
0x0F,OpaqueString then PBKDF2 with SHA-256,[RFC-harkins-salted-eap-pwd-08]
0x10,OpaqueString then PBKDF2 with SHA-512,[RFC-harkins-salted-eap-pwd-08]
0x11-0xFF,Unassigned,
