Type,Reference,Status
v,[RFC6376],active
a,[RFC6376],active
b,[RFC6376],active
bh,[RFC6376],active
c,[RFC6376],active
d,[RFC6376],active
h,[RFC6376],active
i,[RFC6376],active
l,[RFC6376],active
q,[RFC6376],active
s,[RFC6376],active
t,[RFC6376],active
x,[RFC6376],active
z,[RFC6376],active
atps,[RFC6541],active
atpsh,[RFC6541],active
r,[RFC6651],active
