Value,Description,Reference
0,ACP Zone Addressing Sub-Scheme/ACP Manual Addressing Sub-Scheme,"[RFC8994, Sections 6.11.3, 6.11.4]"
1,ACP Vlong Addressing Sub-Scheme,"[RFC8994, Section 6.11.5]"
2-3,Unassigned,
