CAPA Tag,CAPA Args,Added Cmds,Cmds Affected,List,Diffs,Cmd Valid,References
TOP,none,TOP,none,both,no,TRANSACTION,[RFC2449][RFC1939]
USER,none,"USER,       
PASS",none,both,no,AUTHENTICATION,[RFC2449][RFC1939]
SASL,mech list,AUTH,none,both,no,AUTHENTICATION,[RFC2449][RFC5034]
RESP-CODES,none,none,none,both,no,n/a,[RFC2449]
LOGIN-DELAY,"secs,       
USER",none,"USER,          
PASS,
APOP,
AUTH",both,yes,n/a,[RFC2449]
PIPELINING,none,none,all,both,no,n/a,[RFC2449]
EXPIRE,"days,       
NEVER,
USER",none,none,both,yes,n/a,[RFC2449]
UIDL,none,UIDL,none,both,no,TRANSACTION,[RFC2449][RFC1939]
IMPLEMENTATION,text,none,none,"TRANS,       
both",no,n/a,[RFC2449][RFC1939]
STLS,none,STLS,"USER,          
PASS,
CAPA",both,no,AUTHENTICATION,[RFC2595]
AUTH-RESP-CODE,none,none,none,both,no,n/a,[RFC3206]
UTF8,USER,UTF8,"USER,          
PASS,
APOP,
LIST,
TOP,
RETR",both,no,AUTHORIZATION,[RFC6856]
LANG,none,LANG,all,both,no,"AUTHORIZATION   
TRANSACTION",[RFC6856]
