AlgID,Description,Reference
AES-128-CMAC,AES-CMAC using 128-bit keys,[RFC4493]
AES-128-CMAC-96,AES-128-CMAC truncated to 96-bit,[RFC5926]
HMAC-SHA-1-96,HMAC SHA-1 truncated to 96-bits,[RFC2104]
