Type,Description/Meaning,Reference
128-183,Unassigned,[RFC4341]
184-190,Reserved for experimental and testing use,[RFC4341]
191-247,Unassigned,[RFC4341]
248-254,Reserved for experimental and testing use,[RFC4341]
255,Reserved,[RFC4341]
