Address Type,Description,Reference
0,Reserved,[RFC6812]
1,Reserved,[RFC6812]
2,IPv4,[RFC6812]
3,IPv6,[RFC6812]
4-200,Unassigned,
201-225,Private Use,[RFC6812]
226-255,Experimental Use,[RFC6812]
