Layout Type Name,Value,RFC,How,Minor Versions
Reserved,0x00000000,[RFC-ietf-nfsv4-rfc5661sesqui-msns-04],,
LAYOUT4_NFSV4_1_FILES,0x00000001,[RFC-ietf-nfsv4-rfc5661sesqui-msns-04],N,1
LAYOUT4_OSD2_OBJECTS,0x00000002,[RFC5664],L,1
LAYOUT4_BLOCK_VOLUME,0x00000003,[RFC5663],L,1
LAYOUT4_FLEX_FILES,0x00000004,[RFC8435],L,1
LAYOUT4_SCSI,0x00000005,[RFC8154],L,1
Unassigned,0x00000006-0x7FFFFFFF,,,
Reserved,0x80000000-0xFFFFFFFF,[RFC-ietf-nfsv4-rfc5661sesqui-msns-04],,
