Call User Data (hex),Protocol,Reference
01,PAD,[Alain_Lanssiers]
C5,Blacker front-end descr dev,[Alain_Lanssiers]
CC,IP,[RFC877][Alain_Lanssiers][ISO SC6/WG2 approved assignment in ISO 9577 (January 1990).]
CD,ISO-IP,[Alain_Lanssiers]
CF,PPP,[RFC1598]
DD,Network Monitoring,[Alain_Lanssiers]
