Code,Name,Reference
0,Reserved,[RFC8803]
1,Info TLV,[RFC8803]
2-9,Unassigned,
10,Connect TLV,[RFC8803]
11-19,Unassigned,
20,Extended TCP Header TLV,[RFC8803]
21,Supported TCP Extension TLV,[RFC8803]
22,Cookie TLV,[RFC8803]
23-29,Unassigned,
30,Error TLV,[RFC8803]
31-191,Unassigned,
192-255,Reserved for Private Use,[RFC8803]
