Format Identifier,Length,Description,Reference
0x00000000-0xf6ab0e17,,Unassigned,
0xf6ab0e18,8,RPC-over-RDMA version 1 CM Private Data,[RFC8797]
0xf6ab0e19-0xffffffff,,Unassigned,
