Value,Meaning,Reference
0,Reserved,[RFC-ietf-mpls-lsp-ping-registries-update-11]
1,Do not reply,[RFC8029]
2,Reply via an IPv4/IPv6 UDP packet,[RFC8029]
3,Reply via an IPv4/IPv6 UDP packet with Router Alert,[RFC8029]
4,Reply via application-level control channel,[RFC8029]
5,Reply via Specified Path,[RFC7110]
6-247,Unassigned,
248-251,Reserved for Experimental Use,[RFC-ietf-mpls-lsp-ping-registries-update-11]
252-255,Reserved for Private Use,[RFC8029]
