Bit number,Name,Reference
15,V Flag,[RFC-ietf-mpls-rfc4379bis-09]
14,T Flag,[RFC6425]
13,Validate Reverse Path,"[RFC6426][RFC Errata 
          4012]"
12-0,Unassigned,[RFC-ietf-mpls-rfc4379bis-09]
