Sub-Type,Sub-TLV Name,Reference,Comment
0,Reserved,[RFC8611][RFC9041],
1,Incoming Label Stack,[RFC8611],
2,Incoming Interface Index,[RFC8611],
3-31739,Unassigned,,
31740-31743,Reserved for Experimental Use,[RFC9041],"Not to be assigned. This range is for sub-TLVs that require an error message if not recognized. [RFC9041, Section 3.1]"
31744-64507,Unassigned,,
64508-64511,Reserved for Experimental Use,[RFC9041],Not to be assigned. This range is for sub-TLVs that can be silently dropped if not recognized.
64512-65535,Unassigned,,
