Version,Status,Profile Name,Reference
1,Current,iSCSI,[RFC3722]
1,Current,Nameprep,[RFC3491]
1,Not Current,Nodeprep,[RFC6122][RFC7622]
1,Current,Policy MIB Stringprep,[RFC4011]
1,Not Current,Resourceprep,[RFC6122][RFC7622]
1,Not Current,SASLprep,[RFC4013][RFC-ietf-precis-7613bis-11]
1,Current,trace,[RFC4505]
