Value,Hash Algorithm,Reference
0,Reserved,[RFC7427]
1,SHA1,[RFC7427]
2,SHA2-256,[RFC7427]
3,SHA2-384,[RFC7427]
4,SHA2-512,[RFC7427]
5,Identity,[RFC-ietf-ipsecme-eddsa-04]
6-1023,Unassigned,
1024-65535,Reserved for Private Use,[RFC7427]
