Value,Exchange Type,Reference
0-33,Reserved,[RFC7296]
34,IKE_SA_INIT,[RFC7296]
35,IKE_AUTH,[RFC7296]
36,CREATE_CHILD_SA,[RFC7296]
37,INFORMATIONAL,[RFC7296]
38,IKE_SESSION_RESUME,[RFC5723]
39,GSA_AUTH,[draft-yeung-g-ikev2]
40,GSA_REGISTRATION,[draft-yeung-g-ikev2]
41,GSA_REKEY,[draft-yeung-g-ikev2]
42,Unassigned,
43,IKE_INTERMEDIATE,[RFC9242]
44,IKE_FOLLOWUP_KE,[draft-ietf-ipsecme-ikev2-multiple-ke-06]
45-239,Unassigned,
240-255,Private use,[RFC7296]
