Number,Name,Reference
0,NONE,[RFC7296]
1,AUTH_HMAC_MD5_96,[RFC2403][RFC7296]
2,AUTH_HMAC_SHA1_96,[RFC2404][RFC7296]
3,AUTH_DES_MAC,[RFC7296]
4,AUTH_KPDK_MD5,[RFC7296]
5,AUTH_AES_XCBC_96,[RFC3566][RFC7296]
6,AUTH_HMAC_MD5_128,[RFC4595]
7,AUTH_HMAC_SHA1_160,[RFC4595]
8,AUTH_AES_CMAC_96,[RFC4494]
9,AUTH_AES_128_GMAC,[RFC4543]
10,AUTH_AES_192_GMAC,[RFC4543]
11,AUTH_AES_256_GMAC,[RFC4543]
12,AUTH_HMAC_SHA2_256_128,[RFC4868]
13,AUTH_HMAC_SHA2_384_192,[RFC4868]
14,AUTH_HMAC_SHA2_512_256,[RFC4868]
15-1023,Unassigned,
1024-65535,Private use,[RFC7296]
