Value,Description,Reference
0,Reserved,[RFC6467]
1,PACE,[RFC6631]
2,AugPAKE,[RFC6628]
3,Secure PSK Authentication,[RFC6617]
4-1023,Unassigned,
1024-65535,Reserved for Private Use,[RFC6467]
