ppt value,Reference
rph,[RFC8443]
shaken,[RFC8588]
msec,[RFC8862]
div,"[RFC8946, Section 3]"
div-o,"[RFC8946, Section 5]"
rcd,[RFC-ietf-stir-passport-rcd-26]
msg,"[RFC9475, Section 3.2]"
