Value,ECC curve,Reference
0,Reserved,[RFC6267]
1,ECPRGF192Random  / P-192 / secp192r1,[RFC6267]
2,EC2NGF163Random  / B-163 / sect163r2,[RFC6267]
3,EC2NGF163Koblitz / K-163 / sect163k1,[RFC6267]
4,EC2NGF163Random2 / none  / sect163r1,[RFC6267]
5,ECPRGF224Random  / P-224 / secp224r1,[RFC6267]
6,EC2NGF233Random  / B-233 / sect233r1,[RFC6267]
7,EC2NGF233Koblitz / K-233 / sect233k1,[RFC6267]
8,ECPRGF256Random  / P-256 / secp256r1,[RFC6267]
9,EC2NGF283Random  / B-283 / sect283r1,[RFC6267]
10,EC2NGF283Koblitz / K-283 / sect283k1,[RFC6267]
11,ECPRGF384Random  / P-384 / secp384r1,[RFC6267]
12,EC2NGF409Random  / B-409 / sect409r1,[RFC6267]
13,EC2NGF409Koblitz / K-409 / sect409k1,[RFC6267]
14,ECPRGF521Random  / P-521 / secp521r1,[RFC6267]
15,EC2NGF571Random  / B-571 / sect571r1,[RFC6267]
16,EC2NGF571Koblitz / K-571 / sect571k1,[RFC6267]
17-239,Unassigned,
240-254,Private Use,[RFC6267]
255,Reserved,[RFC6267]
