Value,Type,Reference
0,TGK,[RFC3830]
1,TGK+SALT,[RFC3830]
2,TEK,[RFC3830]
3,TEK+SALT,[RFC3830]
4,GTGK,[RFC6043]
5,GTGK+SALT,[RFC6043]
6,MPK,[RFC6043]
7,K_PR,[RFC6267]
8-15,Unassigned,
