Type,Description,Reference
0x00000000,Reserved,[RFC7055]
0x00000001,Error,"[RFC7055, Section 5.3]"
0x00000002,Acceptor name request,"[RFC7055, Section 5.4.2]"
0x00000003,Acceptor name response,"[RFC7055, Section 5.4.3]"
0x00000004,EAP response,"[RFC7055, Section 5.5.2]"
0x00000005,EAP request,"[RFC7055, Section 5.5.1]"
0x00000006,GSS-API channel bindings,"[RFC7055, Section 5.6.2]"
0x00000007-0x0000000A,Unassigned,
0x0000000B,Vendor,"[RFC7055, Section 5.4.1]"
0x0000000C,Flags,"[RFC7055, Section 5.6.1]"
0x0000000D,Initiator MIC,"[RFC7055, Section 5.6.3]"
0x0000000E,Acceptor MIC,"[RFC7055, Section 5.6.3]"
0x0000000F-0x7FFFFFFF,Unassigned,
