Name,Code,Owner,Reference
bindRequest,0,IESG,[RFC4513][RFC4511]
bindResponse,1,IESG,[RFC4513][RFC4511]
unbindRequest,2,IESG,[RFC4511]
searchRequest,3,IESG,[RFC4511]
searchResEntry,4,IESG,[RFC4511]
searchResDone,5,IESG,[RFC4511]
modifyRequest,6,IESG,[RFC4511]
modifyResponse,7,IESG,[RFC4511]
addRequest,8,IESG,[RFC4511]
addResponse,9,IESG,[RFC4511]
delRequest,10,IESG,[RFC4511]
delResponse,11,IESG,[RFC4511]
modDNRequest,12,IESG,[RFC4511]
modDNResponse,13,IESG,[RFC4511]
compareRequest,14,IESG,[RFC4511]
compareResponse,15,IESG,[RFC4511]
abandonRequest,16,IESG,[RFC4511]
reserved,17-18,IESG,
searchResRef,19,IESG,[RFC4511]
reserved,20-22,IESG,
extendedReq,23,IESG,[RFC4511]
extendedResp,24,IESG,[RFC4511]
intermediateResponse,25,IESG,[RFC4511]
