Name,Value,Owner,Reference
and,0,IESG,[RFC4511]
or,1,IESG,[RFC4511]
not,2,IESG,[RFC4511]
equalityMatch,3,IESG,[RFC4511]
substrings,4,IESG,[RFC4511]
greaterOrEqual,5,IESG,[RFC4511]
lessOrEqual,6,IESG,[RFC4511]
present,7,IESG,[RFC4511]
approxMatch,8,IESG,[RFC4511]
extensibleMatch,9,IESG,[RFC4511]
