Method,Value,Owner,Usage,Reference
simple,0,IESG,LIMITED USE,[RFC4513][RFC4511]
krbv42LDAP,1,IESG,OBSOLETE (See [2]),[RFC1777]
krbv42DSA,2,IESG,OBSOLETE (See [2]),[RFC1777]
sasl,3,IESG,COMMON,[RFC4513][RFC4511]
