Object Identifier,Type,Description,Reference
1.2.826.0.1.3344810.2.3,C,Matched Values Control,[RFC3876]
1.2.840.113556.1.4.319,C,LDAP Simple Paged Results Control,[RFC2696]
1.2.840.113556.1.4.473,C,Sort Request,[RFC2891]
1.2.840.113556.1.4.474,C,Sort Response,[RFC2891]
1.3.6.1.1.7.1,C,LCUP Sync Request Control,[RFC3928]
1.3.6.1.1.7.2,C,LCUP Sync Update Control,[RFC3928]
1.3.6.1.1.7.3,C,LCUP Sync Done Control,[RFC3928]
1.3.6.1.1.8,E,Cancel Operation,[RFC3909]
1.3.6.1.1.12,C,Assertion Control,[RFC4528]
1.3.6.1.1.13.1,C,LDAP Pre-read Control,[RFC4527]
1.3.6.1.1.13.2,C,LDAP Post-read Control,[RFC4527]
1.3.6.1.1.14,F,Modify-Increment,[RFC4525]
1.3.6.1.1.21.1,E,Start Transaction Extended Request,[RFC5805]
1.3.6.1.1.21.2,C,Transaction Specification Control,[RFC5805]
1.3.6.1.1.21.3,E,End Transaction Extended Request,[RFC5805]
1.3.6.1.1.21.4,N,Aborted Transaction Notice,[RFC5805]
1.3.6.1.4.1.1466.101.119.1,E,Dynamic Refresh,[RFC2589]
1.3.6.1.4.1.1466.20037,E,StartTLS,[RFC4511][RFC4513]
1.3.6.1.4.1.4203.1.5.1,F,All Op Attrs,[RFC3673]
1.3.6.1.4.1.4203.1.5.2,F,OC AD Lists,[RFC4529]
1.3.6.1.4.1.4203.1.5.3,F,True/False filters,[RFC4526]
1.3.6.1.4.1.4203.1.5.4,F,Language Tag Options,[RFC3866]
1.3.6.1.4.1.4203.1.5.5,F,Language Range Options,[RFC3866]
1.3.6.1.4.1.4203.1.9.1.1,C,LDAP Content Synchronization Control,[RFC4533]
1.3.6.1.4.1.4203.1.10.1,C,Subentries,[RFC3672]
1.3.6.1.4.1.4203.1.11.1,E,Modify Password,[RFC3062]
1.3.6.1.4.1.4203.1.11.3,E,Who am I?,[RFC4532]
1.3.6.1.1.17.1,E,StartLBURPRequest LDAP ExtendedRequest message,[RFC4373]
1.3.6.1.1.17.2,E,StartLBURPResponse LDAP ExtendedResponse message,[RFC4373]
1.3.6.1.1.17.3,E,EndLBURPRequest LDAP ExtendedRequest message,[RFC4373]
1.3.6.1.1.17.4,E,EndLBURPResponse LDAP ExtendedResponse message,[RFC4373]
1.3.6.1.1.17.5,E,LBURPUpdateRequest LDAP ExtendedRequest message,[RFC4373]
1.3.6.1.1.17.6,E,LBURPUpdateResponse LDAP ExtendedResponse message,[RFC4373]
1.3.6.1.1.17.7,F,LBURP Incremental Update style OID,[RFC4373]
1.3.6.1.1.19,E,LDAP Turn Operation,[RFC4531]
2.16.840.1.113730.3.4.2,C,ManageDsaIT,[RFC3296]
2.16.840.1.113730.3.4.15,C,Authorization Identity Response Control,[RFC3829]
2.16.840.1.113730.3.4.16,C,Authorization Identity Request Control,[RFC3829]
2.16.840.1.113730.3.4.18,C,Proxy Authorization Control,[RFC4370]
1.3.6.1.1.22,C,LDAP Don't Use Copy Control,[RFC6171]
