Value,Description,Reference
0,Reserved,
1,Config message,[RFC4204]
2,ConfigAck message,[RFC4204]
3,ConfigNack message,[RFC4204]
4,Hello message,[RFC4204]
5,BeginVerify message,[RFC4204]
6,BeginVerifyAck message,[RFC4204]
7,BeginVerifyNack message,[RFC4204]
8,EndVerify message,[RFC4204]
9,EndVerifyAck message,[RFC4204]
10,Test message,[RFC4204]
11,TestStatusSuccess message,[RFC4204]
12,TestStatusFailure message,[RFC4204]
13,TestStatusAck message,[RFC4204]
14,LinkSummary message,[RFC4204]
15,LinkSummaryAck message,[RFC4204]
16,LinkSummaryNack message,[RFC4204]
17,ChannelStatus message,[RFC4204]
18,ChannelStatusAck message,[RFC4204]
19,ChannelStatusRequest message,[RFC4204]
20,ChannelStatusResponse message,[RFC4204]
21,TraceMonitor message,[RFC4207]
22,TraceMonitorAck message,[RFC4207]
23,TraceMonitorNack message,[RFC4207]
24,TraceMismatch message,[RFC4207]
25,TraceMismatchAck message,[RFC4207]
26,TraceReq message,[RFC4207]
27,TraceReport message,[RFC4207]
28,TraceReqNack message,[RFC4207]
29,InsertTrace message,[RFC4207]
30,InsertTraceAck message,[RFC4207]
31,InsertTraceNack message,[RFC4207]
32,ConfirmDataChannelStatus,[RFC5818]
33,ConfirmDataChannelStatusAck,[RFC5818]
34,ConfirmDataChannelStatusNack,[RFC5818]
35-127,Unassigned (via Standards Action),
128-247,Unassigned (via expert review),
248-255,Private Use,
