C-Type,Description,Reference
0,Reserved,
1,IPv4 DATA_LINK,[RFC4204]
2,IPv6 DATA_LINK,[RFC4204]
3,Unnumbered DATA_LINK,[RFC4204]
4-119,Unassigned,
120-127,Private Use,[RFC4204]
