C-Type,Description,Reference
0,Reserved,
1,IPv4 INTERFACE_ID,[RFC4204]
2,IPv6 INTERFACE_ID,[RFC4204]
3,Unnumbered INTERFACE_ID,[RFC4204]
4,LINK_GROUP,[RFC4209]
5-119,Unassigned,
120-127,Private Use,[RFC4204]
