Subcode,Symbolic Name,O-bit,Reference
0,Unspecific,(MC),[RFC2909]
1,Open/Close MASC Connection FSM Error,(MC),[RFC2909]
2,Unexpected Message Type FSM Error,(MC),[RFC2909]
