Subcode,Symbolic Name,O-bit,Reference
0,Unspecific,(MC),[RFC2909]
1,Unsupported Version Number,(MC),[RFC2909]
2,Bad Peer Domain ID,(MC),[RFC2909]
3,Bad Peer MASC Node ID,(MC),[RFC2909]
4-5,Unassigned,,
6,Unacceptable Hold Time,(MC),[RFC2909]
7,Invalid Parent Configuration,(MC),[RFC2909]
8,Inconsistent Role,(MC),[RFC2909]
9,Bad Parent Domain ID,(MC),[RFC2909]
10,No Common Parent,(MC),[RFC2909]
11-12,Unassigned,,
13,Unrecognized Address Family,(MC),[RFC2909]
