Value,Description,Reference,Notes/Registration Date
0x0000,Reserved,,
0x0001,Sequence Number TLV,[RFC7769],2015-11-17
0x0002-0x00FF,Unassigned,,
0x0100,FEC,[RFC5036],
0x0101,Address List,[RFC5036],
0x0102,Unassigned,,
0x0103,Hop Count,[RFC5036],
0x0104,Path Vector,[RFC5036],
0x0105-0x01FF,Unassigned,,
0x0200,Generic Label,[RFC5036],
0x0201,ATM Label,[RFC5036],
0x0202,Frame Relay Label,[RFC5036],
0x0203,FT Protection TLV,[RFC3479],
0x0204,LDP Upstream-Assigned Label TLV,[RFC6389],
0x0205,LDP Upstream-Assigned Label Request TLV,[RFC6389],
0x0206,Entropy Label Capability TLV,[RFC6790],
0x0207-0x02FF,Unassigned,,
0x0300,Status,[RFC5036],
0x0301,Extended Status,[RFC5036],
0x0302,Returned PDU,[RFC5036],
0x0303,Returned Message,[RFC5036],
0x0304,Returned TLVs,[RFC5561],
0x0305-0x03FF,Unassigned,,
0x0400,Common Hello Parameters,[RFC5036],
0x0401,IPv4 Transport Address,[RFC5036],
0x0402,Configuration Sequence Number,[RFC5036],
0x0403,IPv6 Transport Address,[RFC5036],
0x0404,MAC TLV,[RFC4762],
0x0405,Cryptographic Authentication TLV,[RFC7349],
0x0406,MAC Flush Parameters TLV,[RFC7361],
0x0407,PBB B-MAC List Sub-TLV,[RFC7361],
0x0408,PBB I-SID List Sub-TLV,[RFC7361],
0x0409-0x04FF,Unassigned,,
0x0500,Common Session Parameters,[RFC5036],
0x0501,ATM Session Parameters,[RFC5036],
0x0502,Frame Relay Session Parameters,[RFC5036],
0x0503,FT Session TLV,[RFC3479],
0x0504,FT Ack TLV,[RFC3479],
0x0505,FT Cork TLV,[RFC3479],
0x0506,Dynamic Capability Announcement,[RFC5561],
0x0507,LDP Upstream Label Assignment Capability TLV,[RFC6389],
0x0508,P2MP Capability Parameter,[RFC6388],
0x0509,MP2MP Capability Parameter,[RFC6388],
0x050A,MBB Capability Parameter,[RFC6388],
0x050B,Typed Wildcard FEC Capability,[RFC5918],
0x050C,Multi-Topology Capability,[RFC7307],
0x050D,State Advertisement Control Capability,[RFC7473],
