Value,Description,Data Type,Reference
0,Reserved,,[RFC8658]
1,Softwire46-MAP-E,tlv,"[RFC8658, Section 3.1.1.1]"
2,Softwire46-MAP-T,tlv,"[RFC8658, Section 3.1.1.2]"
3,Softwire46-Lightweight-4over6,tlv,"[RFC8658, Section 3.1.1.3]"
4,Softwire46-Rule (BMR),tlv,"[RFC8658, Section 3.1.3.1]"
5,Softwire46-Rule (FMR),tlv,"[RFC8658, Section 3.1.3.1]"
6,Softwire46-BR,ipv6addr,"[RFC8658, Section 3.1.3.2]"
7,Softwire46-DMR,ipv6prefix,"[RFC8658, Section 3.1.3.3]"
8,Softwire46-V4V6Bind,tlv,"[RFC8658, Section 3.1.3.4]"
9,Softwire46-PORTPARAMS,tlv,"[RFC8658, Section 3.1.3.5]"
10,Rule-IPv6-Prefix,ipv6prefix,"[RFC8658, Section 3.1.4.1]"
11,Rule-IPv4-Prefix,ipv4prefix,"[RFC8658, Section 3.1.4.2]"
12,EA-Length,integer,"[RFC8658, Section 3.1.4.3]"
13,IPv4-Address,ipv4addr,"[RFC8658, Section 3.1.5.1]"
14,Bind-IPv6-Prefix,ipv6prefix,"[RFC8658, Section 3.1.5.2]"
15,PSID-Offset,integer,"[RFC8658, Section 3.1.6.1]"
16,PSID-Len,integer,"[RFC8658, Section 3.1.6.2]"
17,PSID,integer,"[RFC8658, Section 3.1.6.3]"
18,Softwire46-Option-Code,integer,"[RFC8658, Section 3.2.1]"
19,ASM-Prefix64,ipv6prefix,"[RFC8658, Section 3.3.1]"
20,SSM-Prefix64,ipv6prefix,"[RFC8658, Section 3.3.2]"
21,U-Prefix64,ipv6prefix,"[RFC8658, Section 3.3.3]"
22-255,Unassigned,,
