Value,Description,Data Type,Reference
0,Reserved,,[RFC8045]
1,IP-Port-Type,integer,"[RFC8045, Section 3.2.1]"
2,IP-Port-Limit,integer,"[RFC8045, Section 3.2.2]"
3,IP-Port-Ext-IPv4-Addr,ipv4addr,"[RFC8045, Section 3.2.3]"
4,IP-Port-Int-IPv4-Addr,ipv4addr,"[RFC8045, Section 3.2.4]"
5,IP-Port-Int-IPv6-Addr,ipv6addr,"[RFC8045, Section 3.2.5]"
6,IP-Port-Int-Port,integer,"[RFC8045, Section 3.2.6]"
7,IP-Port-Ext-Port,integer,"[RFC8045, Section 3.2.7]"
8,IP-Port-Alloc,integer,"[RFC8045, Section 3.2.8]"
9,IP-Port-Range-Start,integer,"[RFC8045, Section 3.2.9]"
10,IP-Port-Range-End,integer,"[RFC8045, Section 3.2.10]"
11,IP-Port-Local-Id,string,"[RFC8045, Section 3.2.11]"
12-255,Unassigned,,
