IEEE 802.11 Key Status,Type Value,Reference
Multicast Key,0,[RFC5416]
WEP,1,[RFC5416]
Rekeying GTK,2,[RFC5416]
GTK Rekey Complete,3,[RFC5416]
Unassigned,4-255,
