Services Field,Protocol,Reference
SIP+D2T,TCP,[RFC3263]
SIPS+D2T,TCP,[RFC3263]
SIP+D2U,UDP,[RFC3263]
SIP+D2S,SCTP,[RFC3263]
SIPS+D2S,SCTP,[RFC4168]
SIP+D2W,WS,[RFC7118]
SIPS+D2W,WS,[RFC7118]
