Value,Description
0,No information available
1,Administrative disconnect.
2,"Link Control Protocol (LCP) renegotiation at
LNS disabled; LNS expects proxy LCP information,
LAC did not send it."
3,"Normal Disconnection, LCP Terminate-Request sent.
 Valid Direction values are:
   1: LCP Terminate-Request sent by peer
   2: LCP Terminate-Request sent by local"
4,"Compulsory encryption required by a PPP peer was
refused by the other.
 Valid Direction values are:
   1: Required by local; refused by peer
   2: Required by peer; refused by local"
