Value,Name,Permitted for Notification Messages (Y/N),Reference
0,One-byte Padding,N,[RFC5944]
32,Mobile-Home Authentication,Y,[RFC5944]
33,Mobile-Foreign Authentication,Y,[RFC5944]
34,Foreign-Home Authentication,Y,[RFC5944]
36,Generalized Mobile IP Authentication,N,[RFC4721]
38,Critical Vendor/Organization Specific Extension(CVSE),N,[RFC3115]
40,MN-FA-KeyGen Request,N,[RFC3957]
41,MN-FA-KeyGen Reply,N,[RFC3957]
42,MN-HA-KeyGen Request,N,[RFC3957]
43,MN-HA-KeyGen Reply,N,[RFC3957]
44,UDP Tunnel Reply Extension,N,[RFC3519]
45,FA Error Extension,N,[RFC4636]
46,GFA IP Address Extension,N,[RFC4857]
47,PMIPv4 Non-skippable Extension,N,[RFC5563]
48,GRE Key Extension,N,[RFC6245]
49,Route Optimization Extensions,N,[RFC6521]
50,Route Optimization Data,N,[RFC6521]
51-126,Unassigned,,
127,Non-skippable Extension for Experimental use,N,[RFC4064]
128,Deprecated (2001-08-31),,
129,SKIP Firewall Traversal Extension,N,[RFC2356]
130,Encapsulating Delivery Style Extension,N,[RFC3024]
131,Mobile Node NAI,N,[RFC2794]
132,MN-FA Challenge Extension,N,[RFC4721]
134,Normal Vendor/Organization Specific Extension (NVSE),N,[RFC3115]
136,NAI Carrying Extension,N,[RFC3846]
137,Revocation Support,N,[RFC3543]
138,Generalized Link Layer Address Registration Extension,N,[RFC4881]
139,Dynamic HA Extension,N,[RFC4433]
140,Hierarchical Foreign Agent Extension,N,[RFC4857]
141,Replay Protection Style,N,[RFC4857]
142,Regional Registration Lifetime Extension,N,[RFC4857]
144,UDP Tunnel Request Extension,N,[RFC3519]
145,Message String Extension,Y,[RFC4917]
147,PMIPv4 Skippable Extension,N,[RFC5563]
148,Mobile Network Extension,N,[RFC5177]
149,Trusted Networks Configured (TNC) Extension,N,[RFC5265]
150,Reserved,,
151,Service Selection Extension,N,[RFC5446]
152,Dual Stack (DSMIPv4) Extension,N,[RFC5454]
153,Mobile Router Route Optimization Indication,N,[RFC6521]
154,Multipath-Extension,N,[RFC7629]
155-254,Unassigned,,
255,Skippable Extension for Experimental use,N,[RFC4064]
