Value,Name,Reference
128,reason unspecified,[RFC3344]
129,administratively prohibited,[RFC3344]
130,insufficient resources,[RFC3344]
131,mobile node failed authentication,[RFC3344]
132,foreign agent failed authentication,[RFC3344]
133,registration Identification mismatch,[RFC3344]
134,poorly formed Request,[RFC3344]
135,too many simultaneous mobility bindings,[RFC3344]
136,unknown home agent address,[RFC3344]
137,request reverse tunnel unavailable,[RFC3024]
138,reverse runnel is mandatory and 'T' bit not set,[RFC3024]
139,requested encapsulation unavailable,[RFC3024]
140,ERROR-HA-1,[RFC3115]
141,ERROR-HA-2,[RFC3115]
142,ERROR_HA_UDP-ENCAP_UNAVAIL,[RFC3519]
143,Reregister with redirected HA,[RFC4433]
144,Error code from Home Agent => ha_bad_aaa_auth,[RFC4721]
145,Error code from Home Agent => ZERO_CAREOF_ADDRESS,[RFC4857]
146,Error code from Home Agent => DYN_GFA_NOT_SUPP,[RFC4857]
147,"Mobile Network Prefix operation error                     
(HA_MOBNET_ERROR)",[RFC5177]
148,"Mobile Router operation is not permitted                  
(HA_MOBNET_DISALLOWED)",[RFC5177]
149,PMIP_UNSUPPORTED,[RFC5563]
150,PMIP_DISALLOWED,[RFC5563]
151,SERVICE_AUTHORIZATION_FAILED,[RFC5446]
152,MULTIPATH_NOT_ALLOWED,[RFC7629]
153,INVALID_FB_IDENTIFIER,[RFC7629]
154-191,Unassigned,
192,HA Error Code for Experimental use,[RFC4064]
