Subtype Value,Name,Reference
0,Reserved,[RFC4881]
1,"3GPP2 International Mobile Station Identity         
and Connection ID",[RFC4881]
2,3GPP International Mobile Subscriber Identity,[RFC4881]
3,Ethernet 48-bit MAC address,[RFC4881]
4,"64-bit Global ID, EUI-64",[RFC4881]
5,Solicited IPv4 Address,[RFC4881]
6,Access Point Identifier,[RFC4881]
7,FA IPv4 Address,[RFC4881]
8-255,Unassigned,
