Value,Name,Reference
64,reason unspecified,[RFC3344]
65,administratively prohibited,[RFC3344]
66,insufficient resources,[RFC3344]
67,mobile node failed authentication,[RFC3344][RFC4721]
68,home agent failed authentication,[RFC3344]
69,requested Lifetime too long,[RFC3344]
70,poorly formed Request,[RFC3344]
71,poorly formed Reply,[RFC3344]
72,requested encapsulation unavailable,[RFC3344]
73,reserved and unavailable,[RFC3344]
74,request reverse tunnel unavailable,[RFC3024]
75,reverse runnel is mandatory and 'T' bit not set,[RFC3024]
76,mobile node too distant,[RFC3024]
77,invalid care-of address,[RFC3344]
78,registration timeout,[RFC3344]
79,delivery style not supported,[RFC3024]
80,home network unreachable (ICMP error received),[RFC3344]
81,home agent host unreachable (ICMP error received),[RFC3344]
82,home agent port unreachable (ICMP error received),[RFC3344]
83-87,Unassigned,
88,home agent unreachable (other ICMP error received),[RFC3344]
89,vendor-specific reason,[Frank_Quick]
90,Non-zero HA address required in Registration Request,[RFC4433]
91-95,Unassigned,
96,nonzero_homeaddr_reqd,[RFC2794]
97,missing_nai,[RFC2794]
98,missing_home_agent,[RFC2794]
99,missing_homeaddr,[RFC2794]
100,ERROR-FA-1,[RFC3115]
101,ERROR-FA-2,[RFC3115]
102-103,Unassigned,
104,unknown_challenge,[RFC4721]
105,missing_challenge,[RFC4721]
106,stale_challenge,[RFC4721]
107,MISSING_MN_FA,[RFC3957]
108,Error code from Foreign Agent => fa_bad_aaa_auth,[RFC4721]
109,Error code from Foreign Agent => ha_wrong_challenge,[RFC4721]
110,Error code from Foreign Agent => REPLAY_PROT_UNAVAIL,[RFC4857]
111,Error code from Foreign Agent => ZERO_COA_NOT_SUPP,[RFC4857]
112,UNKNOWN_GFA,[RFC4857]
113,GFA_UNREACHABLE,[RFC4857]
114,GFA_HOST_UNREACHABLE,[RFC4857]
115,GFA_PORT_UNREACHABLE,[RFC4857]
116,Invalid Home Agent Address,[RFC5944]
117-126,Unassigned,
127,FA Error Code for Experimental use,[RFC4064]
