Value,Description,Reference
0,"Mono, L/R stereo","[RFC7845, Section 5.1.1.1][RFC-ietf-codec-ambisonics-10]"
1,1-8 channel surround,"[RFC7845, Section 5.1.1.2][RFC-ietf-codec-ambisonics-10]"
2,Ambisonics as individual channels,"[RFC-ietf-codec-ambisonics-10, Section 3.1]"
3,Ambisonics with demixing matrix,"[RFC-ietf-codec-ambisonics-10, Section 3.2]"
4-239,Unassigned,
240-254,Experimental use,"[RFC-ietf-codec-ambisonics-10, Section 6]"
255,Discrete channels,"[RFC7845, Section 5.1.1.3][RFC-ietf-codec-ambisonics-10]"
