Value,Description,Semantics Definition,Reference
0,Reserved,Section 3.1.4,[RFC7718]
1,Request-Session,Section 3.5,[RFC4656]
2,Start-Sessions,Section 3.7,[RFC4656]
3,Stop-Sessions,Section 3.8,[RFC4656]
4,Fetch-Sessions,Section 3.9,[RFC4656]
5,Request-OW-Micro-Sessions,Section 3.1,[RFC9533]
6-253,Unassigned,,
254,Experimentation,Section 3.1.4,[RFC7718]
255,Reserved,Section 3.1.4,[RFC7718]
