Enum Value,Reference/Description,Change Controller
individual,"[RFC8984, Section 4.4.6]",IETF
group,"[RFC8984, Section 4.4.6]",IETF
resource,"[RFC8984, Section 4.4.6]",IETF
location,"[RFC8984, Section 4.4.6]",IETF
