Enum Value,Reference/Description,Change Controller
needs-action,"[RFC8984, Section 4.4.6]",IETF
accepted,"[RFC8984, Section 4.4.6]",IETF
declined,"[RFC8984, Section 4.4.6]",IETF
tentative,"[RFC8984, Section 4.4.6]",IETF
delegated,"[RFC8984, Section 4.4.6]",IETF
