Enum Value,Reference/Description,Change Controller
owner,"[RFC8984, Section 4.4.6]",IETF
attendee,"[RFC8984, Section 4.4.6]",IETF
optional,"[RFC8984, Section 4.4.6]",IETF
informational,"[RFC8984, Section 4.4.6]",IETF
chair,"[RFC8984, Section 4.4.6]",IETF
contact,"[RFC8984, Section 4.4.6]",IETF
