Property Name,Property Type,Property Context,Reference/Description,Intended Usage,Change Controller
recurrenceId,LocalDateTime,"Event, Task","[RFC8984, Section 4.3.1]",common,IETF
recurrenceIdTimeZone,TimeZoneId|null,"Event, Task","[RFC8984, Section 4.3.2]",common,IETF
recurrenceOverrides,LocalDateTime[PatchObject],"Event, Task, TimeZoneRule","[RFC8984, Section 4.3.5, Section 4.7.2]",common,IETF
recurrenceRules,RecurrenceRule[],"Event, Task, TimeZoneRule","[RFC8984,
	Section 4.3.3, Section 4.7.2]",common,IETF
rel,String,Link,"[RFC8984,
	Section 1.4.11]",common,IETF
relatedTo,String[Relation],"Event, Task, Alert","[RFC8984,
	Section 4.1.3, Section 4.5.2]",common,IETF
relation,String[Boolean],Relation,"[RFC8984, Section 1.4.10]",common,IETF
relativeTo,String,"OffsetTrigger, Location","[RFC8984,  Section 4.5.2, Section 4.2.5]",common,IETF
replyTo,String[String],"Event, Task","[RFC8984, Section 4.4.4]",common,IETF
requestStatus,String,"Event, Task","[RFC8984, Section 4.4.7]",common,IETF
roles,String[Boolean],Participant,"[RFC8984,
	Section 4.4.6]",common,IETF
rscale,String,RecurrenceRule,"[RFC8984,
	Section 4.3.3]",common,IETF
sentBy,String,"Event, Task, Participant","[RFC8984, Section 4.4.5, Section 4.4.6]",common,IETF
standard,TimeZoneRule[],TimeZone,"[RFC8984,
	Section 4.7.2]",common,IETF
start,LocalDateTime,TimeZoneRule,"[RFC8984,
	Section 4.7.2]",common,IETF
scheduleAgent,String,Participant,"[RFC8984,
	Section 4.4.6]",common,IETF
scheduleForceSend,Boolean,Participant,"[RFC8984,
	Section 4.4.6]",common,IETF
scheduleSequence,UnsignedInt,Participant,"[RFC8984,
	Section 4.4.6]",common,IETF
scheduleStatus,String[],Participant,"[RFC8984,
	Section 4.4.6]",common,IETF
scheduleUpdated,UTCDateTime,Participant,"[RFC8984,
	Section 4.4.6]",common,IETF
sendTo,String[String],Participant,"[RFC8984,
	Section 4.4.6]",common,IETF
sequence,UnsignedInt,"Event, Task","[RFC8984, Section 4.1.7]",common,IETF
showWithoutTime,Boolean,"Event, Task","[RFC8984, Section 4.2.4]",common,IETF
size,UnsignedInt,Link,"[RFC8984,
	Section 1.4.11]",common,IETF
skip,String,RecurrenceRule,"[RFC8984,
	Section 4.3.3]",common,IETF
source,String,Group,"[RFC8984, Section 5.3.2]",common,IETF
start,LocalDateTime,"Event, Task","[RFC8984, Section 5.1.1, Section 5.2.2]",common,IETF
status,String,Event,"[RFC8984, Section 5.1.3]",common,IETF
timeZone,TimeZoneId|null,"Event, Task, Location","[RFC8984, Section 4.7.1, Section 4.2.5]",common,IETF
timeZones,TimeZoneId[TimeZone],"Event, Task","[RFC8984,
	Section 4.7.2]",common,IETF
title,String,"Event, Task, Group, Link","[RFC8984, Section 4.2.1]",common,IETF
trigger,OffsetTrigger|AbsoluteTrigger|UnknownTrigger,Alert,"[RFC8984,
	Section 4.5.2]",common,IETF
tzId,String,TimeZone,"[RFC8984,
	Section 4.7.2]",common,IETF
uid,String,"Event, Task, Group","[RFC8984, Section 4.1.2]",common,IETF
until,LocalDateTime,RecurrenceRule,"[RFC8984,
	Section 4.3.3]",common,IETF
updated,UTCDateTime,"Event, Task, Group","[RFC8984, Section 4.1.6]",common,IETF
uri,String,VirtualLocation,"[RFC8984,
	Section 4.2.6]",common,IETF
url,String,TimeZone,"[RFC8984,
	Section 4.7.2]",common,IETF
useDefaultAlerts,Boolean,"Event, Task","[RFC8984, Section 4.5.1]",common,IETF
validUntil,UTCDateTime,TimeZone,"[RFC8984,
	Section 4.7.2]",common,IETF
virtualLocations,Id[VirtualLocation],"Event, Task","[RFC8984,
	Section 4.2.6]",common,IETF
when,UTCDateTime,AbsoluteTrigger,"[RFC8984,
	Section 4.5.2]",common,IETF
