Enum Value,Reference/Description,Change Controller
needs-action,"[RFC8984, Section 5.2.5]",IETF
in-process,"[RFC8984, Section 5.2.5]",IETF
completed,"[RFC8984, Section 5.2.5]",IETF
failed,"[RFC8984, Section 5.2.5]",IETF
cancelled,"[RFC8984, Section 5.2.5]",IETF
