Enum Value,Reference/Description,Change Controller
badge,"[RFC8984, Section 1.4.11]",IETF
graphic,"[RFC8984, Section 1.4.11]",IETF
fullsize,"[RFC8984, Section 1.4.11]",IETF
thumbnail,"[RFC8984, Section 1.4.11]",IETF
