Tag,Reference
CCMP,[RFC6503]
data.tcp,[RFC8973]
diameter.dtls.sctp,[RFC6733]
diameter.sctp,[RFC6408]
diameter.tcp,[RFC6408]
diameter.tls.tcp,[RFC6408]
HELD,[RFC5986]
http,[RFC2616][RFC5222]
https,[RFC2818][RFC5222]
iris.beep,[RFC3983]
iris.lwz,[RFC4993]
iris.xpc,[RFC4992]
iris.xpcs,[RFC4992]
radius.dtls.udp,[RFC7585]
radius.tls.tcp,[RFC7585]
signal.udp,[RFC8973]
signal.tcp,[RFC8973]
turn.dtls,[RFC7350]
turn.tcp,[RFC5928]
turn.tls,[RFC5928]
turn.udp,[RFC5928]
