Value,Description,Reference
0,Reserved,[RFC7242]
1,Reserved,[RFC7242]
2,Reserved,[RFC7242]
3,TCPCL,[RFC7242]
4,TCPCLv4,[RFC9174]
5-255,Unassigned,
