Type,Description,22,23,25,141,222,223,Reference
0-2,Unassigned,,,,,,,
3,Administrative group (color),y,y,y(s),y,y,y,[RFC5305]
4,Link Local/Remote Identifiers,y,y,y(s),y,y,y,[RFC5307]
5,Unassigned,,,,,,,
6,IPv4 interface address,y,y,y(s),y,y,y,[RFC5305]
7,Unassigned,,,,,,,
8,IPv4 neighbor address,y,y,y(s),y,y,y,[RFC5305]
9,Maximum link bandwidth,y,y,y(s),y,y,y,[RFC5305]
10,Maximum reservable link bandwidth,y,y,y(s),y,y,y,[RFC5305]
11,Unreserved bandwidth,y,y,y(s),y,y,y,[RFC5305]
12,IPv6 Interface Address,y,y,y(s),y,y,y,[RFC6119]
13,IPv6 Neighbor Address,y,y,y(s),y,y,y,[RFC6119]
14,Extended Administrative Group,y,y,y(s),y,y,y,[RFC7308]
15,Link MSD,y,y,y,y,y,y,[RFC8491]
16,"Application Specific Link Attributes
        (TEMPORARY - registered 2018-04-27, expires 2019-04-27)",y,y,y(s),y,y,y,[draft-ietf-isis-te-app]
17,Unassigned,,,,,,,
18,TE Default metric,y,y,y(s),y,y,y,[RFC5305]
19,Link-attributes,y,y,y(s),y,y,y,[RFC5029]
20,Link Protection Type,y,y,y(s),y,y,y,[RFC5307]
21,Interface Switching Capability Descriptor,y,y,y(s),y,y,y,[RFC5307]
22,Bandwidth Constraints,y,y,y(s),y,y,y,[RFC4124]
23,Unconstrained TE LSP Count (sub-)TLV,y,y,y(s),y,y,y,[RFC5330]
24,remote AS number,n,n,n,y,n,n,[RFC5316]
25,IPv4 remote ASBR Identifier,n,n,n,y,n,n,[RFC5316]
26,IPv6 remote ASBR Identifier,n,n,n,y,n,n,[RFC5316]
27,"Interface Adjustment Capability Descriptor    
(IACD)",y,y,y(s),y,y,y,[RFC6001]
28,MTU,y,y,n,n,y,y,[RFC7176]
29,SPB-Metric,y,y,y(s),n,y,y,[RFC6329]
30,SPB-A-OALG,y,y,y(s),n,y,y,[RFC6329]
31,"Adjacency Segment Identifier (TEMPORARY - registered 2016-06-29, extension registered 2018-06-04, expires 2019-06-29)",y,y,n,y,y,y,[draft-ietf-isis-segment-routing-extensions]
32,"LAN Adjacency Segment Identifier (TEMPORARY - registered 2016-06-29, extension registered 2018-06-04, expires 2019-06-29)",y,y,n,y,y,y,[draft-ietf-isis-segment-routing-extensions]
33,Unidirectional Link Delay,y,y,y,y,y,y,[RFC8570]
34,Min/Max Unidirectional Link Delay,y,y,y,y,y,y,[RFC8570]
35,Unidirectional Delay Variation,y,y,y,y,y,y,[RFC8570]
36,Unidirectional Link Loss,y,y,y,y,y,y,[RFC8570]
37,Unidirectional Residual Bandwidth,y,y,y,y,y,y,[RFC8570]
38,Unidirectional Available Bandwidth,y,y,y,y,y,y,[RFC8570]
39,Unidirectional Utilized Bandwidth,y,y,y,y,y,y,[RFC8570]
40,RTM Capability,y,y,n,n,y,y,[RFC8169]
41,L2 Bundle Member Adj-SID,n,n,y,n,n,n,[RFC-ietf-isis-l2bundles-07]
42,L2 Bundle Member LAN Adj-SID,n,n,y,n,n,n,[RFC-ietf-isis-l2bundles-07]
43-249,Unassigned,,,,,,,
250-254,Reserved for Cisco-specific extensions,,,,,,,
255,Reserved for future expansion,,,,,,,
