Type,Description,22,23,141,222,223,Reference
0-2,Unassigned,,,,,,
3,Administrative group (color),y,y,y,y,y,[RFC5305]
4,Link Local/Remote Identifiers,y,y,y,y,y,[RFC5307]
5,Unassigned,y,y,y,y,y,
6,IPv4 interface address,y,y,y,y,y,[RFC5305]
7,Unassigned,,,,,,
8,IPv4 neighbor address,y,y,y,y,y,[RFC5305]
9,Maximum link bandwidth,y,y,y,y,y,[RFC5305]
10,Maximum reservable link bandwidth,y,y,y,y,y,[RFC5305]
11,Unreserved bandwidth,y,y,y,y,y,[RFC5305]
12,IPv6 Interface Address,y,y,y,y,y,[RFC6119]
13,IPv6 Neighbor Address,y,y,y,y,y,[RFC6119]
14,Extended Administrative Group,y,y,y,y,y,[RFC7308]
15,"Link MSD (TEMPORARY - registered 2017-04-10, expires 2018-04-10)",y,y,y,y,y,[draft-ietf-isis-segment-routing-msd]
16-17,Unassigned,,,,,,
18,TE Default metric,y,y,y,y,y,[RFC5305]
19,Link-attributes,y,y,y,y,y,[RFC5029]
20,Link Protection Type,y,y,y,y,y,[RFC5307]
21,Interface Switching Capability Descriptor,y,y,y,y,y,[RFC5307]
22,Bandwidth Constraints,y,y,y,y,y,[RFC4124]
23,Unconstrained TE LSP Count (sub-)TLV,y,y,y,y,y,[RFC5330]
24,remote AS number,n,n,y,n,n,[RFC5316]
25,IPv4 remote ASBR Identifier,n,n,y,n,n,[RFC5316]
26,IPv6 remote ASBR Identifier,n,n,y,n,n,[RFC5316]
27,"Interface Adjustment Capability Descriptor    
(IACD)",y,y,y,y,y,[RFC6001]
28,MTU,y,y,n,y,y,[RFC7176]
29,SPB-Metric,y,y,n,y,y,[RFC6329]
30,SPB-A-OALG,y,y,n,y,y,[RFC6329]
31,"Adjacency Segment Identifier (TEMPORARY - registered 2016-06-29, extension registered 2017-05-12, expires 2018-06-29)",y,y,y,y,y,[draft-ietf-isis-segment-routing-extensions]
32,"LAN Adjacency Segment Identifier (TEMPORARY - registered 2016-06-29, extension registered 2017-05-12, expires 2018-06-29)",y,y,y,y,y,[draft-ietf-isis-segment-routing-extensions]
33,Unidirectional Link Delay,y,y,y,y,y,[RFC7810]
34,Min/Max Unidirectional Link Delay,y,y,y,y,y,[RFC7810]
35,Unidirectional Delay Variation,y,y,y,y,y,[RFC7810]
36,Unidirectional Link Loss,y,y,y,y,y,[RFC7810]
37,Unidirectional Residual Bandwidth,y,y,y,y,y,[RFC7810]
38,Unidirectional Available Bandwidth,y,y,y,y,y,[RFC7810]
39,Unidirectional Utilized Bandwidth,y,y,y,y,y,[RFC7810]
40,RTM Capability,y,y,n,y,y,[RFC-ietf-mpls-residence-time-15]
41-249,Unassigned,,,,,,
250-254,Reserved for Cisco-specific extensions,,,,,,
255,Reserved for future expansion,,,,,,
