Value,Name,IIH,LSP,SNP,Purge,Status/Reference
211,Restart TLV,y,n,n,n,[RFC8706]
212-221,Unassigned,,,,,
222,MT-ISN,n,y,n,n,[RFC5120]
223,MT IS Neighbor Attribute,n,y,n,n,[RFC5311]
224-228,Unassigned,,,,,
229,M-Topologies,y,y,n,n,[RFC5120]
230-231,Unassigned,,,,,
232,IPv6 Intf. Addr.,y,y,n,n,[RFC5308]
233,IPv6 Global Interface Address TLV,y,n,n,n,[RFC6119]
234,Unassigned,,,,,
235,MT IP. Reach,n,y,n,n,[RFC5120]
236,IPv6 IP. Reach,n,y,n,n,[RFC5308]
237,MT IPv6 IP. Reach,n,y,n,n,[RFC5120]
238,Application-Specific SRLG,n,y,n,n,[RFC8919]
239,Unassigned,,,,,
240,P2P 3-Way Adj. State,y,n,n,n,[RFC5303]
241,Unassigned,,,,,
242,IS-IS Router CAPABILITY TLV,n,y,n,n,[RFC7981]
243,Scope Flooding Support,y,n,n,n,[RFC7356]
244-250,Unassigned,,,,,
251,Generic Information,n,y,n,n,[RFC6823]
252-65535,Unassigned,,,,,
