Bit #,Name,Reference
0,External Prefix Flag (X-flag),[RFC7794]
1,Re-advertisement Flag (R-flag),[RFC7794]
2,Node Flag (N-flag),[RFC7794]
3,ELC Flag (E-flag),[RFC9088]
4,"A bit (TEMPORARY - registered 2020-06-17, extension registered 2021-06-01, expires 2022-06-17)",[draft-ietf-lsr-isis-srv6-extensions-15]
