Type,Description,Reference
0,Reserved,[RFC7176]
1,GMAC-ADDR,[RFC7176]
2,GIP-ADDR,[RFC7176]
3,GIPV6-ADDR,[RFC7176]
4,GLMAC-ADDR,[RFC7176]
5,GLIP-ADDR,[RFC7176]
6,GLIPV6-ADDR,[RFC7176]
7-254,Unassigned,
255,Reserved,[RFC7176]
