Name,Content-Type,Reference
/shared/comment,text/plain; charset=utf-8,[RFC5464]
/private/comment,text/plain; charset=utf-8,[RFC5464]
/private/specialuse,text/plain; charset=us-ascii,[RFC6154]
/shared/imapsieve/script,text/plain; charset=utf-8,[RFC6785]
