SubErr,Field with Error,Reference
0,Unspecified,[RFC-ietf-trill-directory-assist-mechanisms-12]
1,Version not understood (see Section 3.1.1 of [RFC-ietf-trill-directory-assist-mechanisms-12]),[RFC-ietf-trill-directory-assist-mechanisms-12]
2,Unknown Type field value,[RFC-ietf-trill-directory-assist-mechanisms-12]
3,Specified Data Label not being served,[RFC-ietf-trill-directory-assist-mechanisms-12]
4-254,Unassigned,
255,Reserved,[RFC-ietf-trill-directory-assist-mechanisms-12]
