Bit,Short Name,Description,Reference
0,Fail,Failed MTU test,[RFC6325][RFC7176][RFC7177]
1,OOMF,Offering OOMF service,[RFC-ietf-trill-rfc7180bis-07]
2-7,Unassigned,,
