Protocol,Description,Reference
0x000,Reserved,[RFC7178]
0x001,RBridge Channel Error,[RFC7178]
0x002,BFD Control,[RFC7175]
0x003,BFD Echo,[RFC7175]
0x004,RBridge Channel Extension,[RFC7978]
0x005,Pull Directory Services,[RFC-ietf-trill-directory-assist-mechanisms-12]
0x006,Port Shut-Down,[RFC-ietf-trill-rfc6439bis-05]
0x007-0xFF7,Unassigned,
0xFF8-0xFFE,Reserved for Private Use,[RFC7178]
0xFFF,Reserved,[RFC7178]
