Value,Next Payload Type,Reference
0,No Next Payload,[RFC5106]
1-32,Unassigned,
33,Security Association,[RFC5106]
34,Key Exchange,[RFC5106]
35,"Identification                      
(when sent by initiator, IDi)",[RFC5106]
36,"Identification                      
(when sent by responder, IDr)",[RFC5106]
37,Certificate,[RFC5106]
38,Certificate Request,[RFC5106]
39,Authentication,[RFC5106]
40,Nonce,[RFC5106]
41,Notification,[RFC5106]
42,Unassigned,
43,Vendor ID,[RFC5106]
44-45,Unassigned,
46,Encrypted,[RFC5106]
47-120,Unassigned,[RFC5106]
121,Next Fast-ID,[RFC5106]
122-127,Unassigned,
128-255,Reserved for Private Use,[RFC5106]
