Value,Channel Spacing (GHz),Reference
0,Reserved,[RFC6205]
1,100,[RFC6205]
2,50,[RFC6205]
3,25,[RFC6205]
4,12.5,[RFC6205]
5,6.25,[RFC7699]
6-15,Unassigned,
